"","Review_No.","Brand","type_of_ramen","Style","Country","Stars"
"1",1,"Westbrae","Miso Ramen","Pack","USA",0.5
"2",2,"Wai Wai","Tom Yum Chili Flavor","Pack","Thailand",2
"3",3,"Wai Wai","Tom Yum Shrimp","Pack","Thailand",2
"4",4,"Wai Wai","Oriental Style Instant Noodles","Pack","Thailand",1
"5",5,"Vifon","Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles","Bowl","Vietnam",3.5
"6",6,"Vifon","Nam Vang","Pack","Vietnam",2.5
"7",7,"Ve Wong","Mushroom Pork","Pack","Vietnam",1
"8",8,"Tung-I","Chinese Beef Instant Rice Noodle","Pack","Taiwan",3
"9",9,"Sutah","Cup Noodle","Cup","South Korea",2
"10",10,"Smack","Vegetable Beef","Pack","USA",1.5
"11",11,"Six Fortune","Chicken Flavor Instant Soup Noodle","Pack","South Korea",2
"12",12,"Sapporo Ichiban","Shrimp Flavor","Pack","Japan",2.5
"13",13,"Sapporo Ichiban","Chow Mein","Pack","Japan",5
"14",14,"Samyang","Hot","Pack","South Korea",3.5
"15",15,"Samyang","Pojangmacha U-dong","Pack","South Korea",2.5
"16",16,"Samyang","Kalgug-Su (Spicy)","Pack","South Korea",3.5
"17",17,"Quickchow","Pancit Palabok","Pack","Philippines",2.5
"18",18,"Ottogi","Jin Ramen (Hot Taste)","Pack","South Korea",3.5
"19",19,"Nongshim","Shin Ramyun","Pack","South Korea",4
"20",20,"Nongshim","Neoguri (Seafood'n'Spicy)","Pack","South Korea",3.5
"21",21,"Nongshim","Champong Oriental Noodles","Pack","South Korea",4
"22",22,"Nongshim","Ansungtangmyun Noodle Soup","Pack","South Korea",3.75
"23",23,"Nissin","Top Ramen Creamy Chicken","Pack","USA",4.5
"24",24,"Nissin","Demae Ramen Spicy Seafood With Chili Pepper","Pack","Japan",2
"25",25,"Nissin","Demae Ramen Spicy Flavor","Pack","Japan",3
"26",26,"Nissin","Soba Noodles With Mayo Mustard Squirt","Pack","Japan",4
"27",27,"Nissin","Demae Ramen Curry Flavor","Pack","Japan",4
"28",28,"Nissin","Chikin Ramen","Pack","Japan",5
"29",29,"Mee Jang","Tom Yum Shrimp","Bowl","Thailand",3.5
"30",30,"Myojo","Special Duck","Pack","Japan",1
"31",31,"Myojo","Ippeichan Yakisoba","Tray","Japan",4
"32",32,"Koka","Mi Hai Cua Crab Flavor","Pack","Singapore",3.5
"33",33,"Koka","Mi Hai Tom Prawn","Pack","Singapore",3.75
"34",34,"Maruchan","Ramen Noodle Soup Shrimp","Pack","USA",2
"35",35,"Mama","Chand Clear Soup","Pack","Thailand",3
"36",36,"Lucky Me!","Itnok","Pack","Philippines",3
"37",37,"Lucky Me!","Pancit Canton Hot Chili Flavor","Pack","Philippines",3
"38",38,"Lucky Me!","Pancit Canton Citrus Flavor","Pack","Philippines",3
"39",39,"Lucky Me!","Supreme Bulalo Flavor","Bowl","Philippines",3
"40",40,"Lucky Me!","Pancit Canton Chili Mansi","Pack","Philippines",3
"41",41,"Little Cook","Pork Mustard Stem","Bowl","Thailand",0.5
"42",42,"Ve Wong","Kung-Fu Chicken Flavor","Pack","Vietnam",2.75
"43",43,"Kim Ve Wong","Jaopai Series: Vegetarian Instant Noodles","Bowl","Taiwan",0
"44",44,"Indomie","Special Chicken","Pack","Indonesia",4.25
"45",45,"Indomie","Mi Goreng Sate","Pack","Indonesia",5
"46",46,"Indomie","Mi Goreng Jumbo Meatball","Pack","Indonesia",3
"47",47,"Indomie","Mi Goreng Jumbo Barbecue Chicken","Pack","Indonesia",5
"48",48,"Indomie","Shrimp Flavor","Pack","Indonesia",3
"49",49,"Indomie","Mi Goreng Pedas Hot","Pack","Indonesia",4.5
"50",50,"Indomie","Mi Goreng","Pack","Indonesia",5
"51",51,"Indomie","Curly Noodles With Grilled Chicken","Pack","Indonesia",5
"52",52,"Indomie","Chicken Curry","Pack","Indonesia",4
"53",53,"Indomie","Chicken","Cup","Indonesia",2
"54",54,"Hua Feng Noodle Expert","Spicy Seafood Flavor","Pack","China",3
"55",55,"Hua Feng Noodle Expert","Favoury Pork Flavor","Pack","China",1
"56",56,"Doll","Instant Noodles With Sesame Oil & Soup Base","Pack","Hong Kong",1
"57",57,"Doll","Instant Fried Noodles With Chili Sauce","Tray","Hong Kong",3
"58",58,"Ve Wong","A-One Bun Tom Shrimp","Pack","Taiwan",3
"59",59,"Maggi","Chinese Noodles Lemon Chicken Flavor","Pack","India",3.5
"60",60,"Maggi","Vegetable Atta Noodles Masala","Pack","India",2
"61",61,"Maggi","2 Minute Noodles Curry","Pack","India",2.5
"62",62,"Maggi","Rice Noodle Mania Lemon Masala","Pack","India",1.5
"63",63,"Nissin","Souper Meal Chicken Flavor With Vegetable Medley","Bowl","Japan",3
"64",64,"Sapporo Ichiban","Chicken Flavor","Pack","USA",3.5
"65",65,"Nissin","Top Ramen Oriental","Pack","USA",2.5
"66",66,"Maruchan","Ramen Noodle Soup Pork","Pack","USA",4
"67",67,"Maruchan","Ramen Noodle Soup Lime Chili Shrimp","Pack","USA",2
"68",68,"Wei Lih","Jah Jan Mien Instant Noodle With Fried Soybean Paste","Pack","Taiwan",4
"69",69,"Baijia","Spicy Fei- Chang Sweet Potato Noodle","Pack","China",1.75
"70",70,"Nissin","Demae Ramen XO Sauce Seafood","Pack","Japan",4
